"","az","date","senat","kammer_txt","richter_txt","anordnung","link"
"4486","1 BvR 1557/01",2004-08-04,"1","3","Papier,Steiner,Hohmann-Dennhardt",0,"http://www.bverfg.de/e/rk20040804_1bvr155701.html"
"4487","1 BvR 135/00",2004-08-03,"1","2","Jaeger,Hömig,Bryde",0,"http://www.bverfg.de/e/rk20040803_1bvr013500.html"
"4488","2 BvR 1881/00",2004-07-31,"2","1","Broß,DiFabio,Gerhardt",0,"http://www.bverfg.de/e/rk20040731_2bvr188100.html"
"4489","1 BvR 737/00",2004-07-29,"1","3","Papier,Steiner,Hohmann-Dennhardt",0,"http://www.bverfg.de/e/rk20040729_1bvr073700.html"
"4490","1 BvR 1322/04",2004-07-29,"1","2","Jaeger,Hömig,Bryde",0,"http://www.bverfg.de/e/rk20040729_1bvr132204.html"
"4491","1 BvR 1374/04",2004-07-29,"1","2","Jaeger,Hömig,Bryde",0,"http://www.bverfg.de/e/rk20040729_1bvr137404.html"
"4492","2 BvR 2248/03",2004-07-29,"2","1","Broß,DiFabio,Gerhardt",0,"http://www.bverfg.de/e/rk20040729_2bvr224803.html"
"4493","1 BvQ 26/04",2004-07-28,"1","2","Jaeger,Hömig,Bryde",1,"http://www.bverfg.de/e/qk20040728_1bvq002604.html"
"4494","1 BvR 159/04",2004-07-28,"1","2","Jaeger,Hömig,Bryde",0,"http://www.bverfg.de/e/rk20040728_1bvr015904.html"
"4495","1 BvR 2566/95",2004-07-28,"1","1","Haas,Hoffmann-Riem,Papier",0,"http://www.bverfg.de/e/rk20040728_1bvr256695.html"
"4496","1 BvR 293/01",2004-07-27,"1","3","Steiner,Hohmann-Dennhardt,Bryde",0,"http://www.bverfg.de/e/rk20040727_1bvr029301.html"
